H w z
1.73710516795 1.01033008856 1.96729048504
1.73381027008 1.00684078836 1.96712706186
1.73053242895 1.00336413482 1.96696319341
1.72727152378 0.999900049137 1.96679887954
1.72402743488 0.996448453189 1.96663412012
1.72080004371 0.993009269511 1.96646891501
1.71758923281 0.989582421301 1.96630326407
1.71439488579 0.98616783241 1.96613716718
1.71121688743 0.98276542742 1.96597062419
1.7080551236 0.979375131588 1.96580363498
1.70490948111 0.975996870712 1.96563619941
1.70177984785 0.972630571221 1.96546831737
1.69866611269 0.969276160161 1.96529998873
1.69556816554 0.965933565192 1.96513121337
1.6924858973 0.962602714582 1.96496199116
1.68941919987 0.959283537198 1.96479232199
1.68636796611 0.955975962501 1.96462220573
1.68333208986 0.952679920538 1.96445164228
1.68031146593 0.949395341941 1.96428063152
1.67730599003 0.946122157914 1.96410917334
1.67431555886 0.942860300229 1.96393726763
1.67134007 0.939609701223 1.96376491428
1.66837942197 0.93637029379 1.96359211318
1.66543351419 0.933142011372 1.96341886424
1.66250224696 0.929924787959 1.96324516734
1.65958552147 0.926718558079 1.96307102239
1.6566832398 0.923523256794 1.96289642929
1.65379530486 0.920338819694 1.96272138794
1.65092162052 0.917165182983 1.96254589825
1.64806209153 0.914002283411 1.96236996012
1.64521662336 0.910850058144 1.96219357347
1.64238512233 0.907708444857 1.9620167382
1.63956749556 0.904577381725 1.96183945422
1.636763651 0.901456807423 1.96166172145
1.63397349739 0.898346661117 1.96148353981
1.63119694426 0.895246882458 1.96130490921
1.62843390191 0.892157411581 1.96112582957
1.62568428145 0.889078189096 1.96094630082
1.62294799471 0.886009156088 1.96076632288
1.62022495432 0.882950254105 1.96058589567
1.61751507364 0.879901425161 1.96040501911
1.61481826675 0.876862611725 1.96022369315
1.61213444851 0.873833756722 1.96004191771
1.60946353447 0.870814803522 1.95985969272
1.6068054409 0.86780569594 1.95967701811
1.6041600848 0.864806378231 1.95949389383
1.60152738385 0.861816795085 1.95931031981
1.59890725643 0.858836891621 1.95912629599
1.59629962163 0.855866613386 1.95894182231
1.59370439919 0.852905906347 1.95875689871
1.59112150953 0.84995471689 1.95857152515
1.58855087375 0.847012991812 1.95838570157
1.58599241359 0.844080678323 1.95819942791
1.58344605146 0.841157724035 1.95801270413
1.58091171041 0.838244076982 1.95782553018
1.57838931435 0.835339685821 1.95763790602
1.57587878767 0.832444499466 1.9574498316
1.57338005536 0.829558467158 1.95726130688
1.57089304302 0.82668153852 1.95707233182
1.56841767685 0.823813663564 1.95688290638
1.56595388366 0.82095479268 1.95669303052
1.56350159089 0.818104876632 1.95650270421
1.56106072654 0.815263866562 1.95631192743
1.55863121921 0.812431713975 1.95612070012
1.55621299808 0.809608370746 1.95592902228
1.55380599292 0.80679378911 1.95573689386
1.55141013405 0.803987921662 1.95554431485
1.54902535237 0.801190721348 1.95535128522
1.54665157934 0.798402141471 1.95515780495
1.54428874696 0.795622135679 1.95496387401
1.54193678778 0.792850657963 1.9547694924
1.53959563491 0.790087662661 1.95457466009
1.53726522198 0.787333104444 1.95437937706
1.53494548315 0.784586938321 1.95418364331
1.53263635311 0.781849119631 1.95398745882
1.53033776708 0.779119604043 1.95379082359
1.52804966077 0.77639834755 1.9535937376
1.52577197044 0.77368530647 1.95339620086
1.52350463282 0.770980437439 1.95319821334
1.52124758515 0.768283697407 1.95299977507
1.51900076517 0.76559504364 1.95280088602
1.51676411115 0.762914433767 1.95260154621
1.51453756192 0.760241825825 1.95240175563
1.51232105672 0.757577178039 1.9522015143
1.51011453523 0.754920448926 1.95200082222
1.50791793762 0.752271597305 1.95179967939
1.50573120451 0.749630582291 1.95159808583
1.503554277 0.746997363294 1.95139604155
1.50138709663 0.744371900017 1.95119354657
1.49922960542 0.741754152452 1.95099060089
1.49708174581 0.739144080878 1.95078720453
1.49494346072 0.736541645856 1.95058335752
1.49281469346 0.733946808231 1.95037905987
1.49069538783 0.731359529125 1.9501743116
1.48858548803 0.728779769937 1.94996911275
1.48648493869 0.726207492341 1.94976346333
1.48439368488 0.72364265828 1.94955736338
1.48231167207 0.721085229966 1.94935081291
1.48023884616 0.71853516988 1.94914381197
1.47817515346 0.715992440764 1.94893636058
1.47612054068 0.713457005622 1.94872845879
1.47407495494 0.71092882772 1.94852010661
1.47203834375 0.708407870576 1.9483113041
1.47001065504 0.705894097967 1.94810205129
1.4679918371 0.703387473919 1.94789234823
1.46598183864 0.700887962711 1.94768219495
1.46398060874 0.698395528866 1.9474715915
1.46198809685 0.695910137156 1.94726053792
1.46000425289 0.693431752679 1.94704903427
1.45802902713 0.690960340765 1.94683708059
1.45606237016 0.688495866927 1.94662467694
1.45410423297 0.686038296918 1.94641182337
1.45215456687 0.683587596723 1.94619851994
1.45021332356 0.681143732564 1.94598476669
1.44828045509 0.678706670893 1.94577056369
1.44635591387 0.67627637839 1.945555911
1.44443965266 0.673852821966 1.94534080867
1.44253162456 0.671435968756 1.94512525678
1.44063178301 0.669025786117 1.94490925539
1.43874008181 0.666622241629 1.94469280455
1.43685647508 0.664225303094 1.94447590435
1.43498091729 0.661834938527 1.94425855485
1.43311336324 0.659451116163 1.94404075612
1.43125376806 0.657073804449 1.94382250823
1.42940208718 0.654702972044 1.94360381126
1.42755827639 0.65233858782 1.94338466528
1.42572229177 0.649980620853 1.94316507038
1.42389408975 0.64762904043 1.94294502663
1.42207362705 0.645283816041 1.9427245341
1.4202608607 0.642944917378 1.9425035929
1.41845574806 0.640612314338 1.94228220309
1.41665824676 0.638285977015 1.94206036476
1.41486831477 0.635965875701 1.941838078
1.41308591035 0.633651980885 1.94161534291
1.41131099204 0.631344263261 1.94139215956
1.40954351877 0.629042693784 1.94116852806
1.4077834497 0.62674724355 1.9409444485
1.40603074425 0.62445788383 1.94071992097
1.40428536217 0.622174586085 1.94049494557
1.40254726346 0.619897321963 1.9402695224
1.40081640842 0.617626063296 1.94004365155
1.39909275763 0.615360782102 1.93981733314
1.39737627193 0.613101450581 1.93959056726
1.39566691247 0.610848041115 1.93936335403
1.39396464063 0.608600526263 1.93913569353
1.39226941809 0.606358878764 1.93890758589
